;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
RR;1400027;AMAJARI; 17.056.638,84 ; -   ; -   ; 900.025,13 ; 900.025,13 ; 17.956.663,97 ;;;;
RR;1400100;BOA VISTA; 588.280.524,78 ; -   ; -   ; -   ; -   ; 588.280.524,78 ;;;;
RR;1400159;BONFIM; 44.287.673,80 ; -   ; 1.232.917,64 ; -   ; 1.232.917,64 ; 45.520.591,44 ;;;;
RR;1400175;CANTA; 33.717.721,23 ; -   ; -   ; 1.823.318,53 ; 1.823.318,53 ; 35.541.039,76 ;;;;
RR;1400209;CARACARAI; 34.865.522,05 ; -   ; -   ; 1.088.801,88 ; 1.088.801,88 ; 35.954.323,93 ;;;;
RR;1400233;CAROEBE; 19.742.749,05 ; -   ; -   ; -   ; -   ; 19.742.749,05 ;;;;
RR;1400282;IRACEMA; 12.678.265,68 ; -   ; -   ; 724.386,19 ; 724.386,19 ; 13.402.651,87 ;;;;
RR;1400308;MUCAJAI; 34.015.087,44 ; -   ; -   ; 1.076.684,17 ; 1.076.684,17 ; 35.091.771,61 ;;;;
RR;1400407;NORMANDIA; 51.699.419,04 ; -   ; 12.211.631,30 ; 2.237.580,62 ; 14.449.211,92 ; 66.148.630,96 ;;;;
RR;1400456;PACARAIMA; 56.268.904,38 ; -   ; 2.755.092,79 ; -   ; 2.755.092,79 ; 59.023.997,17 ;;;;
RR;1400472;RORAINOPOLIS; 63.933.006,37 ; -   ; 4.937.281,25 ; -   ; 4.937.281,25 ; 68.870.287,62 ;;;;
RR;1400506;SAO JOAO DA BALIZA; 16.567.133,24 ; -   ; -   ; -   ; -   ; 16.567.133,24 ;;;;
RR;1400605;SAO LUIZ; 15.245.785,93 ; -   ; -   ; -   ; -   ; 15.245.785,93 ;;;;
RR;1400704;UIRAMUTA; 31.073.217,16 ; -   ; 6.359.473,24 ; -   ; 6.359.473,24 ; 37.432.690,40 ;;;;
RR;14;GOVERNO DO ESTADO; 1.007.363.953,48 ; -   ; -   ; -   ; -   ; 1.007.363.953,48 ;;;;
RS;4300034;ACEGUA; 8.040.171,33 ; -   ; -   ; 275.702,60 ; 275.702,60 ; 8.315.873,93 ;;;;
RS;4300059;AGUA SANTA; 5.324.501,42 ; -   ; -   ; -   ; -   ; 5.324.501,42 ;;;;
RS;4300109;AGUDO; 21.959.832,85 ; -   ; -   ; -   ; -   ; 21.959.832,85 ;;;;
RS;4300208;AJURICABA; 5.997.672,53 ; -   ; -   ; 439.135,29 ; 439.135,29 ; 6.436.807,82 ;;;;
RS;4300307;ALECRIM; 4.596.452,08 ; -   ; -   ; 140.720,32 ; 140.720,32 ; 4.737.172,40 ;;;;
RS;4300406;ALEGRETE; 48.466.893,20 ; -   ; -   ; -   ; -   ; 48.466.893,20 ;;;;
RS;4300455;ALEGRIA; 3.937.275,21 ; -   ; -   ; 246.084,12 ; 246.084,12 ; 4.183.359,33 ;;;;
RS;4300471;ALMIRANTE TAMANDARE DO SUL; 2.693.246,81 ; -   ; -   ; -   ; -   ; 2.693.246,81 ;;;;
RS;4300505;ALPESTRE; 7.515.005,57 ; -   ; -   ; 540.712,23 ; 540.712,23 ; 8.055.717,80 ;;;;
RS;4300554;ALTO ALEGRE; 1.541.442,24 ; -   ; -   ; 48.320,15 ; 48.320,15 ; 1.589.762,39 ;;;;
RS;4300570;ALTO FELIZ; 5.042.061,02 ; -   ; -   ; 308.785,21 ; 308.785,21 ; 5.350.846,23 ;;;;
RS;4300604;ALVORADA; 203.794.949,56 ; -   ; -   ; -   ; -   ; 203.794.949,56 ;;;;
RS;4300638;AMARAL FERRADOR; 6.576.731,87 ; -   ; -   ; -   ; -   ; 6.576.731,87 ;;;;
RS;4300646;AMETISTA DO SUL; 10.421.726,75 ; -   ; -   ; -   ; -   ; 10.421.726,75 ;;;;
RS;4300661;ANDRE DA ROCHA; 1.573.576,75 ; -   ; -   ; -   ; -   ; 1.573.576,75 ;;;;
RS;4300703;ANTA GORDA; 3.142.388,88 ; -   ; -   ; 101.977,34 ; 101.977,34 ; 3.244.366,22 ;;;;
RS;4300802;ANTONIO PRADO; 9.617.067,91 ; -   ; -   ; -   ; -   ; 9.617.067,91 ;;;;
RS;4300851;ARAMBARE; 5.279.372,98 ; -   ; -   ; -   ; -   ; 5.279.372,98 ;;;;
RS;4300877;ARARICA; 20.492.514,02 ; -   ; 795.838,21 ; -   ; 795.838,21 ; 21.288.352,23 ;;;;
RS;4300901;ARATIBA; 6.871.937,85 ; -   ; -   ; 511.357,70 ; 511.357,70 ; 7.383.295,55 ;;;;
RS;4301008;ARROIO DO MEIO; 35.684.565,66 ; -   ; -   ; 2.371.695,15 ; 2.371.695,15 ; 38.056.260,81 ;;;;
RS;4301073;ARROIO DO PADRE; 3.833.108,50 ; -   ; -   ; -   ; -   ; 3.833.108,50 ;;;;
RS;4301057;ARROIO DO SAL; 21.697.409,14 ; -   ; -   ; -   ; -   ; 21.697.409,14 ;;;;
RS;4301206;ARROIO DO TIGRE; 14.935.672,33 ; -   ; -   ; 943.660,42 ; 943.660,42 ; 15.879.332,75 ;;;;
RS;4301107;ARROIO DOS RATOS; 17.419.013,04 ; -   ; -   ; -   ; -   ; 17.419.013,04 ;;;;
RS;4301305;ARROIO GRANDE; 14.348.209,84 ; -   ; -   ; 904.064,19 ; 904.064,19 ; 15.252.274,03 ;;;;
RS;4301404;ARVOREZINHA; 7.877.458,45 ; -   ; -   ; -   ; -   ; 7.877.458,45 ;;;;
RS;4301503;AUGUSTO PESTANA; 5.405.998,67 ; -   ; -   ; -   ; -   ; 5.405.998,67 ;;;;
RS;4301552;AUREA; 3.824.175,15 ; -   ; -   ; -   ; -   ; 3.824.175,15 ;;;;
RS;4301602;BAGE; 107.545.633,06 ; -   ; -   ; -   ; -   ; 107.545.633,06 ;;;;
RS;4301636;BALNEARIO PINHAL; 27.140.545,03 ; -   ; -   ; -   ; -   ; 27.140.545,03 ;;;;
RS;4301651;BARAO; 7.880.374,37 ; -   ; -   ; -   ; -   ; 7.880.374,37 ;;;;
RS;4301701;BARAO DE COTEGIPE; 6.236.420,85 ; -   ; -   ; 222.131,33 ; 222.131,33 ; 6.458.552,18 ;;;;
RS;4301750;BARAO DO TRIUNFO; 6.192.947,96 ; -   ; -   ; -   ; -   ; 6.192.947,96 ;;;;
RS;4301859;BARRA DO GUARITA; 5.021.399,17 ; -   ; -   ; 332.525,52 ; 332.525,52 ; 5.353.924,69 ;;;;
RS;4301875;BARRA DO QUARAI; 7.690.448,72 ; -   ; -   ; -   ; -   ; 7.690.448,72 ;;;;
RS;4301909;BARRA DO RIBEIRO; 9.257.147,29 ; -   ; -   ; 576.977,57 ; 576.977,57 ; 9.834.124,86 ;;;;
RS;4301925;BARRA DO RIO AZUL; 903.479,23 ; -   ; -   ; -   ; -   ; 903.479,23 ;;;;
RS;4301958;BARRA FUNDA; 2.830.209,81 ; -   ; -   ; -   ; -   ; 2.830.209,81 ;;;;
RS;4301800;BARRACAO; 6.211.970,54 ; -   ; -   ; 445.741,47 ; 445.741,47 ; 6.657.712,01 ;;;;
RS;4302006;BARROS CASSAL; 9.366.828,53 ; -   ; -   ; 551.767,39 ; 551.767,39 ; 9.918.595,92 ;;;;
RS;4302055;BENJAMIN CONSTANT DO SUL; 3.501.930,11 ; -   ; 35.769,87 ; 95.543,51 ; 131.313,38 ; 3.633.243,49 ;;;;
RS;4302105;BENTO GONCALVES; 118.137.583,79 ; -   ; -   ; -   ; -   ; 118.137.583,79 ;;;;
RS;4302154;BOA VISTA DAS MISSOES; 3.289.197,73 ; -   ; -   ; 210.634,71 ; 210.634,71 ; 3.499.832,44 ;;;;
RS;4302204;BOA VISTA DO BURICA; 9.381.922,17 ; -   ; -   ; 334.808,46 ; 334.808,46 ; 9.716.730,63 ;;;;
RS;4302220;BOA VISTA DO CADEADO; 3.517.558,72 ; -   ; -   ; 218.318,79 ; 218.318,79 ; 3.735.877,51 ;;;;
RS;4302238;BOA VISTA DO INCRA; 4.352.729,36 ; -   ; -   ; -   ; -   ; 4.352.729,36 ;;;;
RS;4302253;BOA VISTA DO SUL; 3.267.226,19 ; -   ; -   ; -   ; -   ; 3.267.226,19 ;;;;
RS;4302303;BOM JESUS; 12.922.848,09 ; -   ; -   ; -   ; -   ; 12.922.848,09 ;;;;
RS;4302352;BOM PRINCIPIO; 20.914.048,70 ; -   ; -   ; -   ; -   ; 20.914.048,70 ;;;;
RS;4302378;BOM PROGRESSO; 2.875.009,08 ; -   ; -   ; 100.368,96 ; 100.368,96 ; 2.975.378,04 ;;;;
RS;4302402;BOM RETIRO DO SUL; 19.015.032,83 ; -   ; -   ; 1.234.940,20 ; 1.234.940,20 ; 20.249.973,03 ;;;;
RS;4302451;BOQUEIRAO DO LEAO; 4.713.835,99 ; -   ; -   ; -   ; -   ; 4.713.835,99 ;;;;
RS;4302501;BOSSOROCA; 7.220.341,88 ; -   ; -   ; -   ; -   ; 7.220.341,88 ;;;;
RS;4302584;BOZANO; 1.928.095,31 ; -   ; -   ; 61.563,44 ; 61.563,44 ; 1.989.658,75 ;;;;
RS;4302600;BRAGA; 3.065.529,33 ; -   ; -   ; -   ; -   ; 3.065.529,33 ;;;;
RS;4302659;BROCHIER; 5.632.841,96 ; -   ; -   ; 366.251,07 ; 366.251,07 ; 5.999.093,03 ;;;;
RS;4302709;BUTIA; 25.355.892,98 ; -   ; -   ; 1.601.135,73 ; 1.601.135,73 ; 26.957.028,71 ;;;;
RS;4302808;CACAPAVA DO SUL; 36.917.148,94 ; -   ; -   ; -   ; -   ; 36.917.148,94 ;;;;
RS;4302907;CACEQUI; 11.207.986,99 ; -   ; -   ; -   ; -   ; 11.207.986,99 ;;;;
RS;4303004;CACHOEIRA DO SUL; 61.351.735,25 ; -   ; -   ; -   ; -   ; 61.351.735,25 ;;;;
RS;4303103;CACHOEIRINHA; 146.381.496,48 ; -   ; -   ; 10.142.369,11 ; 10.142.369,11 ; 156.523.865,59 ;;;;
RS;4303202;CACIQUE DOBLE; 6.241.686,10 ; -   ; -   ; -   ; -   ; 6.241.686,10 ;;;;
RS;4303301;CAIBATE; 4.935.918,88 ; -   ; -   ; 312.687,50 ; 312.687,50 ; 5.248.606,38 ;;;;
RS;4303400;CAICARA; 1.221.971,69 ; -   ; -   ; 37.244,69 ; 37.244,69 ; 1.259.216,38 ;;;;
RS;4303509;CAMAQUA; 62.375.234,75 ; -   ; -   ; -   ; -   ; 62.375.234,75 ;;;;
RS;4303558;CAMARGO; 4.236.333,89 ; -   ; -   ; 134.222,63 ; 134.222,63 ; 4.370.556,52 ;;;;
RS;4303608;CAMBARA DO SUL; 6.984.308,06 ; -   ; -   ; -   ; -   ; 6.984.308,06 ;;;;
RS;4303673;CAMPESTRE DA SERRA; 4.351.188,41 ; -   ; -   ; -   ; -   ; 4.351.188,41 ;;;;
RS;4303707;CAMPINA DAS MISSOES; 5.855.852,40 ; -   ; -   ; 448.086,79 ; 448.086,79 ; 6.303.939,19 ;;;;
RS;4303806;CAMPINAS DO SUL; 4.503.276,03 ; -   ; -   ; 151.264,47 ; 151.264,47 ; 4.654.540,50 ;;;;
RS;4303905;CAMPO BOM; 102.159.831,83 ; -   ; -   ; 3.445.412,27 ; 3.445.412,27 ; 105.605.244,10 ;;;;
RS;4304002;CAMPO NOVO; 5.088.183,93 ; -   ; -   ; 354.298,08 ; 354.298,08 ; 5.442.482,01 ;;;;
RS;4304101;CAMPOS BORGES; 3.931.137,65 ; -   ; -   ; 266.868,89 ; 266.868,89 ; 4.198.006,54 ;;;;
RS;4304200;CANDELARIA; 27.553.952,01 ; -   ; -   ; 1.890.514,09 ; 1.890.514,09 ; 29.444.466,10 ;;;;
RS;4304309;CANDIDO GODOI; 5.647.419,73 ; -   ; -   ; 414.814,25 ; 414.814,25 ; 6.062.233,98 ;;;;
RS;4304358;CANDIOTA; 8.719.148,57 ; -   ; -   ; -   ; -   ; 8.719.148,57 ;;;;
RS;4304408;CANELA; 70.992.929,86 ; -   ; -   ; 1.929.698,84 ; 1.929.698,84 ; 72.922.628,70 ;;;;
RS;4304507;CANGUCU; 61.345.498,45 ; -   ; -   ; 3.417.365,15 ; 3.417.365,15 ; 64.762.863,60 ;;;;
RS;4304606;CANOAS; 324.316.948,57 ; -   ; -   ; -   ; -   ; 324.316.948,57 ;;;;
RS;4304614;CANUDOS DO VALE; 2.490.501,67 ; -   ; -   ; 147.314,05 ; 147.314,05 ; 2.637.815,72 ;;;;
RS;4304622;CAPAO BONITO DO SUL; 4.186.936,59 ; -   ; -   ; 206.780,34 ; 206.780,34 ; 4.393.716,93 ;;;;
RS;4304630;CAPAO DA CANOA; 99.994.639,81 ; -   ; -   ; -   ; -   ; 99.994.639,81 ;;;;
RS;4304655;CAPAO DO CIPO; 3.784.427,69 ; -   ; -   ; -   ; -   ; 3.784.427,69 ;;;;
RS;4304663;CAPAO DO LEAO; 34.888.405,14 ; -   ; -   ; -   ; -   ; 34.888.405,14 ;;;;
RS;4304689;CAPELA DE SANTANA; 16.264.143,71 ; -   ; -   ; -   ; -   ; 16.264.143,71 ;;;;
RS;4304697;CAPITAO; 5.838.921,51 ; -   ; -   ; -   ; -   ; 5.838.921,51 ;;;;
RS;4304671;CAPIVARI DO SUL; 7.333.586,46 ; -   ; -   ; -   ; -   ; 7.333.586,46 ;;;;
RS;4304713;CARAA; 10.992.803,20 ; -   ; 743.669,82 ; 617.267,92 ; 1.360.937,74 ; 12.353.740,94 ;;;;
RS;4304705;CARAZINHO; 59.875.399,09 ; -   ; -   ; -   ; -   ; 59.875.399,09 ;;;;
RS;4304804;CARLOS BARBOSA; 30.626.155,94 ; -   ; -   ; 2.180.990,90 ; 2.180.990,90 ; 32.807.146,84 ;;;;
RS;4304853;CARLOS GOMES; 1.774.587,15 ; -   ; -   ; 54.046,97 ; 54.046,97 ; 1.828.634,12 ;;;;
RS;4304903;CASCA; 9.100.179,54 ; -   ; -   ; 299.706,30 ; 299.706,30 ; 9.399.885,84 ;;;;
RS;4304952;CASEIROS; 4.718.600,69 ; -   ; -   ; -   ; -   ; 4.718.600,69 ;;;;
RS;4305009;CATUIPE; 9.228.356,72 ; -   ; -   ; -   ; -   ; 9.228.356,72 ;;;;
RS;4305108;CAXIAS DO SUL; 391.145.258,84 ; -   ; -   ; -   ; -   ; 391.145.258,84 ;;;;
RS;4305116;CENTENARIO; 2.094.948,16 ; -   ; -   ; 64.784,79 ; 64.784,79 ; 2.159.732,95 ;;;;
RS;4305124;CERRITO; 6.561.101,04 ; -   ; -   ; -   ; -   ; 6.561.101,04 ;;;;
RS;4305132;CERRO BRANCO; 4.288.049,41 ; -   ; -   ; 132.196,32 ; 132.196,32 ; 4.420.245,73 ;;;;
RS;4305157;CERRO GRANDE; 4.571.837,15 ; -   ; 393.548,71 ; -   ; 393.548,71 ; 4.965.385,86 ;;;;
RS;4305173;CERRO GRANDE DO SUL; 9.528.689,65 ; -   ; -   ; 588.258,81 ; 588.258,81 ; 10.116.948,46 ;;;;
RS;4305207;CERRO LARGO; 13.331.913,23 ; -   ; -   ; -   ; -   ; 13.331.913,23 ;;;;
RS;4305306;CHAPADA; 13.627.475,71 ; -   ; -   ; -   ; -   ; 13.627.475,71 ;;;;
RS;4305355;CHARQUEADAS; 37.097.815,08 ; -   ; -   ; 2.672.449,38 ; 2.672.449,38 ; 39.770.264,46 ;;;;
RS;4305371;CHARRUA; 3.367.688,00 ; -   ; -   ; 100.173,36 ; 100.173,36 ; 3.467.861,36 ;;;;
RS;4305405;CHIAPETTA; 4.459.986,58 ; -   ; -   ; 289.084,61 ; 289.084,61 ; 4.749.071,19 ;;;;
RS;4305439;CHUI; 4.732.129,81 ; -   ; -   ; -   ; -   ; 4.732.129,81 ;;;;
RS;4305447;CHUVISCA; 6.467.296,52 ; -   ; -   ; 197.248,57 ; 197.248,57 ; 6.664.545,09 ;;;;
RS;4305454;CIDREIRA; 24.668.021,84 ; -   ; -   ; -   ; -   ; 24.668.021,84 ;;;;
RS;4305504;CIRIACO; 3.925.531,82 ; -   ; -   ; 123.627,86 ; 123.627,86 ; 4.049.159,68 ;;;;
RS;4305587;COLINAS; 4.426.520,62 ; -   ; -   ; 253.932,73 ; 253.932,73 ; 4.680.453,35 ;;;;
RS;4305603;COLORADO; 3.329.201,65 ; -   ; -   ; -   ; -   ; 3.329.201,65 ;;;;
RS;4305702;CONDOR; 8.600.476,47 ; -   ; -   ; -   ; -   ; 8.600.476,47 ;;;;
RS;4305801;CONSTANTINA; 11.919.137,07 ; -   ; -   ; -   ; -   ; 11.919.137,07 ;;;;
RS;4305835;COQUEIRO BAIXO; 1.948.824,52 ; -   ; -   ; 60.489,66 ; 60.489,66 ; 2.009.314,18 ;;;;
RS;4305850;COQUEIROS DO SUL; 2.342.318,45 ; -   ; -   ; -   ; -   ; 2.342.318,45 ;;;;
RS;4305871;CORONEL BARROS; 4.124.307,81 ; -   ; -   ; 159.246,12 ; 159.246,12 ; 4.283.553,93 ;;;;
RS;4305900;CORONEL BICACO; 7.406.708,23 ; -   ; -   ; -   ; -   ; 7.406.708,23 ;;;;
RS;4305934;CORONEL PILAR; 1.791.308,36 ; -   ; -   ; 58.604,83 ; 58.604,83 ; 1.849.913,19 ;;;;
RS;4305959;COTIPORA; 4.215.408,48 ; -   ; -   ; 316.470,49 ; 316.470,49 ; 4.531.878,97 ;;;;
RS;4305975;COXILHA; 5.357.638,90 ; -   ; -   ; 387.460,89 ; 387.460,89 ; 5.745.099,79 ;;;;
RS;4306007;CRISSIUMAL; 16.120.146,38 ; -   ; -   ; -   ; -   ; 16.120.146,38 ;;;;
RS;4306056;CRISTAL; 7.913.236,29 ; -   ; -   ; 510.234,74 ; 510.234,74 ; 8.423.471,03 ;;;;
RS;4306072;CRISTAL DO SUL; 3.080.922,25 ; -   ; -   ; 98.071,99 ; 98.071,99 ; 3.178.994,24 ;;;;
RS;4306106;CRUZ ALTA; 53.149.026,31 ; -   ; -   ; 3.610.412,30 ; 3.610.412,30 ; 56.759.438,61 ;;;;
RS;4306130;CRUZALTENSE; 2.441.721,83 ; -   ; -   ; -   ; -   ; 2.441.721,83 ;;;;
RS;4306205;CRUZEIRO DO SUL; 12.553.172,73 ; -   ; -   ; -   ; -   ; 12.553.172,73 ;;;;
RS;4306304;DAVID CANABARRO; 2.608.812,23 ; -   ; -   ; 81.965,28 ; 81.965,28 ; 2.690.777,51 ;;;;
RS;4306320;DERRUBADAS; 4.425.077,86 ; -   ; -   ; 294.166,19 ; 294.166,19 ; 4.719.244,05 ;;;;
RS;4306353;DEZESSEIS DE NOVEMBRO; 2.126.161,50 ; -   ; -   ; 66.994,73 ; 66.994,73 ; 2.193.156,23 ;;;;
RS;4306379;DILERMANDO DE AGUIAR; 3.804.587,95 ; -   ; -   ; -   ; -   ; 3.804.587,95 ;;;;
RS;4306403;DOIS IRMAOS; 45.018.865,33 ; -   ; -   ; 3.175.245,87 ; 3.175.245,87 ; 48.194.111,20 ;;;;
RS;4306429;DOIS IRMAOS DAS MISSOES; 3.515.809,55 ; -   ; -   ; 112.609,67 ; 112.609,67 ; 3.628.419,22 ;;;;
RS;4306452;DOIS LAJEADOS; 3.067.557,12 ; -   ; -   ; 109.555,01 ; 109.555,01 ; 3.177.112,13 ;;;;
RS;4306502;DOM FELICIANO; 17.255.780,86 ; -   ; -   ; -   ; -   ; 17.255.780,86 ;;;;
RS;4306601;DOM PEDRITO; 29.067.294,44 ; -   ; -   ; 1.008.373,01 ; 1.008.373,01 ; 30.075.667,45 ;;;;
RS;4306551;DOM PEDRO DE ALCANTARA; 3.888.244,41 ; -   ; -   ; 123.126,88 ; 123.126,88 ; 4.011.371,29 ;;;;
RS;4306700;DONA FRANCISCA; 2.456.668,13 ; -   ; -   ; 85.944,79 ; 85.944,79 ; 2.542.612,92 ;;;;
RS;4306734;DOUTOR MAURICIO CARDOSO; 5.363.735,30 ; -   ; -   ; 399.392,16 ; 399.392,16 ; 5.763.127,46 ;;;;
RS;4306759;DOUTOR RICARDO; 1.637.569,63 ; -   ; -   ; 60.432,95 ; 60.432,95 ; 1.698.002,58 ;;;;
RS;4306767;ELDORADO DO SUL; 56.043.786,55 ; -   ; -   ; 1.781.158,94 ; 1.781.158,94 ; 57.824.945,49 ;;;;
RS;4306809;ENCANTADO; 24.189.601,62 ; -   ; -   ; -   ; -   ; 24.189.601,62 ;;;;
RS;4306908;ENCRUZILHADA DO SUL; 25.484.111,63 ; -   ; -   ; -   ; -   ; 25.484.111,63 ;;;;
RS;4306924;ENGENHO VELHO; 2.431.079,61 ; -   ; -   ; 68.180,58 ; 68.180,58 ; 2.499.260,19 ;;;;
RS;4306957;ENTRE RIOS DO SUL; 3.781.667,61 ; -   ; -   ; -   ; -   ; 3.781.667,61 ;;;;
RS;4306932;ENTRE-IJUIS; 8.612.978,34 ; -   ; -   ; 284.158,33 ; 284.158,33 ; 8.897.136,67 ;;;;
RS;4306973;EREBANGO; 3.046.750,87 ; -   ; -   ; 217.858,40 ; 217.858,40 ; 3.264.609,27 ;;;;
RS;4307005;ERECHIM; 73.272.306,55 ; -   ; -   ; 5.085.990,39 ; 5.085.990,39 ; 78.358.296,94 ;;;;
RS;4307054;ERNESTINA; 4.381.241,27 ; -   ; -   ; -   ; -   ; 4.381.241,27 ;;;;
RS;4307203;ERVAL GRANDE; 7.563.374,11 ; -   ; 1.164.575,72 ; 454.707,51 ; 1.619.283,23 ; 9.182.657,34 ;;;;
RS;4307302;ERVAL SECO; 10.806.147,91 ; -   ; -   ; 641.820,08 ; 641.820,08 ; 11.447.967,99 ;;;;
RS;4307401;ESMERALDA; 3.915.714,88 ; -   ; -   ; 269.880,38 ; 269.880,38 ; 4.185.595,26 ;;;;
RS;4307450;ESPERANCA DO SUL; 6.531.936,01 ; -   ; -   ; 433.004,65 ; 433.004,65 ; 6.964.940,66 ;;;;
RS;4307500;ESPUMOSO; 13.806.377,95 ; -   ; -   ; 824.402,24 ; 824.402,24 ; 14.630.780,19 ;;;;
RS;4307559;ESTACAO; 6.391.567,53 ; -   ; -   ; -   ; -   ; 6.391.567,53 ;;;;
RS;4307609;ESTANCIA VELHA; 70.365.270,29 ; -   ; -   ; -   ; -   ; 70.365.270,29 ;;;;
RS;4307708;ESTEIO; 109.843.093,67 ; -   ; -   ; 7.268.597,36 ; 7.268.597,36 ; 117.111.691,03 ;;;;
RS;4307807;ESTRELA; 45.080.381,75 ; -   ; -   ; -   ; -   ; 45.080.381,75 ;;;;
RS;4307815;ESTRELA VELHA; 3.883.100,46 ; -   ; -   ; 267.162,69 ; 267.162,69 ; 4.150.263,15 ;;;;
RS;4307831;EUGENIO DE CASTRO; 2.627.772,75 ; -   ; -   ; -   ; -   ; 2.627.772,75 ;;;;
RS;4307864;FAGUNDES VARELA; 2.693.237,50 ; -   ; -   ; 189.699,67 ; 189.699,67 ; 2.882.937,17 ;;;;
RS;4307906;FARROUPILHA; 80.300.408,42 ; -   ; -   ; -   ; -   ; 80.300.408,42 ;;;;
RS;4308003;FAXINAL DO SOTURNO; 5.020.774,49 ; -   ; -   ; 321.123,40 ; 321.123,40 ; 5.341.897,89 ;;;;
RS;4308052;FAXINALZINHO; 2.108.526,97 ; -   ; -   ; 71.871,39 ; 71.871,39 ; 2.180.398,36 ;;;;
RS;4308078;FAZENDA VILANOVA; 8.859.307,73 ; -   ; -   ; 580.338,43 ; 580.338,43 ; 9.439.646,16 ;;;;
RS;4308102;FELIZ; 14.899.520,52 ; -   ; -   ; -   ; -   ; 14.899.520,52 ;;;;
RS;4308201;FLORES DA CUNHA; 32.175.738,23 ; -   ; -   ; -   ; -   ; 32.175.738,23 ;;;;
RS;4308250;FLORIANO PEIXOTO; 1.718.638,68 ; -   ; -   ; 63.793,50 ; 63.793,50 ; 1.782.432,18 ;;;;
RS;4308300;FONTOURA XAVIER; 10.343.714,28 ; -   ; -   ; 656.657,93 ; 656.657,93 ; 11.000.372,21 ;;;;
RS;4308409;FORMIGUEIRO; 5.694.395,13 ; -   ; -   ; 177.954,74 ; 177.954,74 ; 5.872.349,87 ;;;;
RS;4308433;FORQUETINHA; 4.440.904,13 ; -   ; -   ; 250.663,92 ; 250.663,92 ; 4.691.568,05 ;;;;
RS;4308458;FORTALEZA DOS VALOS; 5.386.684,09 ; -   ; -   ; 403.625,08 ; 403.625,08 ; 5.790.309,17 ;;;;
RS;4308508;FREDERICO WESTPHALEN; 27.771.303,08 ; -   ; -   ; 1.799.867,80 ; 1.799.867,80 ; 29.571.170,88 ;;;;
RS;4308607;GARIBALDI; 30.872.518,05 ; -   ; -   ; 2.368.981,89 ; 2.368.981,89 ; 33.241.499,94 ;;;;
RS;4308656;GARRUCHOS; 2.502.472,67 ; -   ; -   ; 152.314,02 ; 152.314,02 ; 2.654.786,69 ;;;;
RS;4308706;GAURAMA; 5.747.416,40 ; -   ; -   ; -   ; -   ; 5.747.416,40 ;;;;
RS;4308805;GENERAL CAMARA; 4.771.405,33 ; -   ; -   ; -   ; -   ; 4.771.405,33 ;;;;
RS;4308854;GENTIL; 2.222.043,10 ; -   ; -   ; 71.943,33 ; 71.943,33 ; 2.293.986,43 ;;;;
RS;4308904;GETULIO VARGAS; 16.420.022,05 ; -   ; -   ; 1.208.266,66 ; 1.208.266,66 ; 17.628.288,71 ;;;;
RS;4309001;GIRUA; 18.019.295,17 ; -   ; -   ; 1.162.917,01 ; 1.162.917,01 ; 19.182.212,18 ;;;;
RS;4309050;GLORINHA; 14.230.376,89 ; -   ; -   ; 976.602,62 ; 976.602,62 ; 15.206.979,51 ;;;;
RS;4309100;GRAMADO; 59.621.517,59 ; -   ; -   ; 4.072.713,25 ; 4.072.713,25 ; 63.694.230,84 ;;;;
RS;4309126;GRAMADO DOS LOUREIROS; 2.608.227,82 ; -   ; -   ; -   ; -   ; 2.608.227,82 ;;;;
RS;4309159;GRAMADO XAVIER; 4.335.995,48 ; -   ; -   ; -   ; -   ; 4.335.995,48 ;;;;
RS;4309209;GRAVATAI; 280.041.089,28 ; -   ; -   ; -   ; -   ; 280.041.089,28 ;;;;
RS;4309258;GUABIJU; 895.045,57 ; -   ; -   ; -   ; -   ; 895.045,57 ;;;;
RS;4309308;GUAIBA; 108.639.139,26 ; -   ; -   ; -   ; -   ; 108.639.139,26 ;;;;
RS;4309407;GUAPORE; 30.405.893,83 ; -   ; -   ; -   ; -   ; 30.405.893,83 ;;;;
RS;4309506;GUARANI DAS MISSOES; 8.089.930,86 ; -   ; -   ; -   ; -   ; 8.089.930,86 ;;;;
RS;4309555;HARMONIA; 8.474.298,71 ; -   ; 96.976,70 ; 562.112,19 ; 659.088,89 ; 9.133.387,60 ;;;;
RS;4307104;HERVAL; 6.756.250,27 ; -   ; -   ; -   ; -   ; 6.756.250,27 ;;;;
RS;4309571;HERVEIRAS; 3.916.016,49 ; -   ; -   ; 110.696,53 ; 110.696,53 ; 4.026.713,02 ;;;;
RS;4309605;HORIZONTINA; 26.895.287,74 ; -   ; -   ; 1.938.980,88 ; 1.938.980,88 ; 28.834.268,62 ;;;;
RS;4309654;HULHA NEGRA; 6.926.049,45 ; -   ; -   ; -   ; -   ; 6.926.049,45 ;;;;
RS;4309704;HUMAITA; 6.629.920,08 ; -   ; -   ; 480.777,04 ; 480.777,04 ; 7.110.697,12 ;;;;
