;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
AL;2701704;CAPELA; 27.099.768,10 ; 6.106.733,90 ; 13.327.295,16 ; 1.237.108,65 ; 20.671.137,71 ; 47.770.905,81 ;;;;
AL;2701803;CARNEIROS; 17.010.735,77 ; 3.833.244,49 ; 9.601.557,08 ; -   ; 13.434.801,57 ; 30.445.537,34 ;;;;
AL;2701902;CHA PRETA; 8.960.438,97 ; 2.019.169,18 ; 3.450.669,61 ; 457.636,81 ; 5.927.475,60 ; 14.887.914,57 ;;;;
AL;2702009;COITE DO NOIA; 17.709.390,81 ; 3.990.681,28 ; 9.983.674,37 ; -   ; 13.974.355,65 ; 31.683.746,46 ;;;;
AL;2702108;COLONIA LEOPOLDINA; 28.406.880,79 ; 6.401.282,16 ; 18.006.123,68 ; 2.679.224,72 ; 27.086.630,56 ; 55.493.511,35 ;;;;
AL;2702207;COQUEIRO SECO; 7.691.421,96 ; 1.733.205,50 ; 470.975,36 ; 779.589,39 ; 2.983.770,25 ; 10.675.192,21 ;;;;
AL;2702306;CORURIPE; 91.550.855,96 ; 20.630.313,65 ; 61.119.640,22 ; 11.524.350,83 ; 93.274.304,70 ; 184.825.160,66 ;;;;
AL;2702355;CRAIBAS; 46.472.464,57 ; 10.472.228,91 ; 26.585.777,32 ; 2.254.095,01 ; 39.312.101,24 ; 85.784.565,81 ;;;;
AL;2702405;DELMIRO GOUVEIA; 63.446.763,50 ; 14.297.262,62 ; 31.418.638,05 ; -   ; 45.715.900,67 ; 109.162.664,17 ;;;;
AL;2702504;DOIS RIACHOS; 21.051.500,32 ; 4.743.801,13 ; 7.406.049,39 ; 2.240.084,98 ; 14.389.935,50 ; 35.441.435,82 ;;;;
