ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
AM;CAAPIRANGA;1300839; 9.116,60 ; 10.194,38 ; 3.605.231,43 ;49%
AM;CANUTAMA;1300904; 8.693,01 ; 10.194,38 ; 5.006.277,45 ;60%
AM;CARAUARI;1301001; 7.064,97 ; 10.194,38 ; 23.730.492,83 ;54%
AM;CAREIRO;1301100; 7.655,34 ; 10.194,38 ; 26.211.104,17 ;55%
AM;CAREIRO DA VARZEA;1301159; 7.697,23 ; 10.194,38 ; 12.731.475,04 ;57%
AM;COARI;1301209; 9.309,10 ; 10.194,38 ; 13.300.610,90 ;62%
AM;CODAJAS;1301308; 8.749,97 ; 10.194,38 ; 6.644.348,20 ;58%
AM;EIRUNEPE;1301407; 8.238,63 ; 10.194,38 ; 15.884.831,37 ;58%
AM;ENVIRA;1301506; 9.676,87 ; 10.194,38 ; 2.107.120,20 ;59%
AM;FONTE BOA;1301605; 7.381,19 ; 10.194,38 ; 25.528.172,58 ;51%
AM;GUAJARA;1301654; 7.527,46 ; 10.194,38 ; 9.089.903,93 ;53%
AM;HUMAITA;1301704; 8.001,01 ; 10.194,38 ; 28.333.740,54 ;60%
AM;IPIXUNA;1301803; 7.129,64 ; 10.194,38 ; 16.443.484,59 ;60%
AM;IRANDUBA;1301852; 7.369,88 ; 10.194,38 ; 45.290.025,59 ;57%
AM;ITACOATIARA;1301902; 8.865,87 ; 10.194,38 ; 28.670.552,35 ;61%
AM;ITAMARATI;1301951; 7.886,19 ; 10.194,38 ; 9.424.202,38 ;58%
AM;ITAPIRANGA;1302009; 7.016,47 ; 10.194,38 ; 9.175.127,92 ;55%
AM;JAPURA;1302108; 6.979,81 ; 10.194,38 ; 15.555.103,81 ;50%
AM;JURUA;1302207; 8.028,82 ; 10.194,38 ; 8.125.837,03 ;50%
AM;JUTAI;1302306; 7.231,23 ; 10.194,38 ; 34.384.529,44 ;51%
AM;LABREA;1302405; 7.523,11 ; 10.194,38 ; 31.294.584,05 ;58%
AM;MANACAPURU;1302504; 7.844,59 ; 10.194,38 ; 58.093.228,18 ;57%
AM;MANAQUIRI;1302553; 8.788,60 ; 10.194,38 ; 7.841.234,89 ;59%
AM;MANAUS;1302603; 10.369,69 ; 10.369,69 ; -   ;0%
AM;MANICORE;1302702; 8.383,01 ; 10.194,38 ; 27.827.064,74 ;53%
AM;MARAA;1302801; 7.484,16 ; 10.194,38 ; 18.777.936,04 ;50%
AM;MAUES;1302900; 7.649,89 ; 10.194,38 ; 41.436.096,79 ;62%
AM;NHAMUNDA;1303007; 8.164,83 ; 10.194,38 ; 10.150.464,50 ;56%
AM;NOVA OLINDA DO NORTE;1303106; 7.643,07 ; 10.194,38 ; 22.566.854,65 ;57%
AM;NOVO AIRAO;1303205; 8.763,43 ; 10.194,38 ; 5.495.304,75 ;60%
AM;NOVO ARIPUANA;1303304; 7.798,70 ; 10.194,38 ; 10.025.457,25 ;54%
AM;PARINTINS;1303403; 7.737,83 ; 10.194,38 ; 57.835.718,45 ;56%
AM;PAUINI;1303502; 7.766,30 ; 10.194,38 ; 12.080.220,79 ;60%
AM;PRESIDENTE FIGUEIREDO;1303536; 9.906,98 ; 10.194,38 ; 2.974.397,00 ;56%
AM;RIO PRETO DA EVA;1303569; 8.118,25 ; 10.194,38 ; 17.117.056,55 ;55%
AM;SANTA ISABEL DO RIO NEGRO;1303601; 6.510,20 ; 10.194,38 ; 20.381.498,73 ;48%
AM;SANTO ANTONIO DO ICA;1303700; 6.414,86 ; 10.194,38 ; 49.461.023,05 ;47%
AM;SAO GABRIEL DA CACHOEIRA;1303809; 6.378,89 ; 10.194,38 ; 78.492.420,21 ;59%
